N,Drone,Truck Diesel Medium,Petit Van Diesel,Truck Électrique Medium,Petit Van Électrique
336,53.76,90.90833483129548,40.49553097030435,31.404697487174797,13.63625022469432
337,53.92,90.90895115654475,40.49580551518812,31.404910399533637,13.636342673481712
338,54.08,90.90956381747884,40.49607842778603,31.40512204603814,13.636434572621825
339,54.24,90.91017284667856,40.49634972261136,31.4053324379435,13.636525927001783
340,54.4,90.91077827633963,40.496619414005835,31.405541586371868,13.636616741450943
341,54.56,90.91138013827836,40.49688751614218,31.40574950231434,13.636707020741753
342,54.72,90.91197846393715,40.49715404302655,31.40595619663283,13.636796769590571
343,54.88,90.9125732843901,40.49741900850105,31.406161680062034,13.636885992658515
344,55.04,90.91316463034828,40.49768242624606,31.406365963211222,13.636974694552242
345,55.2,90.91375253216505,40.49794430978261,31.406569056566106,13.637062879824756
346,55.36,90.91433701984126,40.49820467247474,31.406770970490612,13.637150552976188
347,55.52,90.9149181230303,40.49846352753168,31.406971715228647,13.637237718454545
348,55.68,90.91549587104323,40.49872088801017,31.40717130090584,13.637324380656484
349,55.84,90.91607029285359,40.498976766816604,31.40736973753124,13.637410543928038
350,56.0,90.91664141710228,40.4992311767092,31.40756703499897,13.637496212565342
351,56.160000000000004,90.91720927210235,40.49948413030015,31.407763203089907,13.637581390815354
352,56.32,90.91777388584367,40.499735640057644,31.407958251473268,13.637666082876551
353,56.480000000000004,90.91833528599746,40.49998571830796,31.40815218970821,13.637750292899618
354,56.64,90.91889349992093,40.50023437723751,31.40834502724541,13.63783402498814
355,56.800000000000004,90.91944855466161,40.50048162889472,31.408536773428555,13.63791728319924
356,56.96,90.92000047696177,40.500727485192066,31.408727437495887,13.638000071544266
357,57.120000000000005,90.9205492932628,40.50097195790797,31.40891702858169,13.638082393989418
358,57.28,90.92109502970914,40.501215058688615,31.4091055557177,13.63816425445637
359,57.44,90.92163771215284,40.501456799049905,31.409293027834618,13.638245656822926
360,57.6,90.92217736615733,40.501697190379176,31.409479453763442,13.638326604923598
